Timestamp,RFIDSensor,UltrasonicSensor,FlowSensor(ml),PumpStatus,SolenoidValve
28-05-202312:23:25,Off,High,0,Off,Off
28-05-202312:25:10,On,High,0,On,Off
28-05-202312:26:40,On,High,75,On,On
28-05-202312:28:05,On,High,150,On,On
28-05-202312:30:20,On,High,200,On,On
28-05-202312:32:45,Off,High,0,Off,On
28-05-202312:34:55,Off,Low,0,Off,On
28-05-202312:36:15,Off,Low,0,Off,Off
28-05-202312:38:30,Off,Low,0,Off,Off
28-05-202312:40:45,On,Low,50,On,Off
28-05-202312:43:00,On,Low,100,On,On
28-05-202312:45:10,On,Low,125,On,On
28-05-202312:47:20,Off,Low,0,Off,On
28-05-202312:49:30,Off,High,0,Off,On
28-05-202312:51:40,Off,High,0,Off,Off
29-05-202310:05:15,On,High,0,On,Off
29-05-202310:07:25,On,High,75,On,On
29-05-202310:09:35,On,High,150,On,On
29-05-202310:11:45,On,High,175,On,On
29-05-202310:14:00,On,High,225,On,On
29-05-202310:16:15,Off,High,0,Off,On
29-05-202310:18:25,Off,Low,0,Off,On
29-05-202310:20:40,Off,Low,0,Off,Off
29-05-202310:22:55,Off,Low,0,Off,Off
29-05-202310:25:10,On,Low,75,On,Off
29-05-202310:27:20,On,Low,100,On,On
29-05-202310:29:35,On,Low,150,On,On
29-05-202310:31:45,Off,Low,0,Off,On
29-05-202310:33:55,Off,High,0,Off,On
29-05-202310:36:05,Off,High,0,Off,Off
29-05-202310:38:15,Off,High,0,Off,Off
29-05-202310:40:25,On,High,0,On,Off
29-05-202310:42:35,On,High,75,On,On
29-05-202310:44:45,On,High,150,On,On
29-05-202310:47:00,On,High,175,On,On
29-05-202310:49:10,On,High,225,On,On
29-05-202310:51:25,Off,High,0,Off,On
29-05-202310:53:35,Off,Low,0,Off,On
29-05-202310:55:45,Off,Low,0,Off,Off
29-05-202310:57:55,Off,Low,0,Off,Off
29-05-202310:59:10,On,Low,75,On,Off
29-05-202311:01:20,On,Low,100,On,On
29-05-202311:03:30,On,Low,150,On,On
29-05-202311:05:40,Off,Low,0,Off,On
29-05-202311:07:50,Off,High,0,Off,On
29-05-202311:10:00,Off,High,0,Off,Off
29-05-202311:12:10,Off,High,0,Off,Off
29-05-202311:14:20,On,High,0,On,Off
29-05-202311:16:30,On,High,75,On,On
29-05-202311:18:40,On,High,150,On,On
29-05-202311:20:50,On,High,175,On,On
29-05-202311:23:00,On,High,225,On,On
29-05-202311:25:10,Off,High,0,Off,On
29-05-202311:27:20,Off,Low,0,Off,On
29-05-202311:29:30,Off,Low,0,Off,Off
29-05-202311:31:40,Off,Low,0,Off,Off
29-05-202311:33:50,On,Low,75,On,Off
29-05-202311:36:00,On,Low,100,On,On
29-05-202311:38:10,On,Low,150,On,On
29-05-202311:40:20,Off,Low,0,Off,On
29-05-202311:42:30,Off,High,0,Off,On
29-05-202311:44:40,Off,High,0,Off,Off
29-05-202311:46:50,Off,High,0,Off,Off
29-05-202311:49:00,On,High,0,On,Off
29-05-202311:51:10,On,High,75,On,On
29-05-202311:53:20,On,High,150,On,On
29-05-202311:55:30,On,High,175,On,On
29-05-202311:57:40,On,High,225,On,On
29-05-202311:59:50,Off,High,0,Off,On
29-05-202312:02:00,Off,Low,0,Off,On
29-05-202312:04:10,Off,Low,0,Off,Off
29-05-202312:06:20,Off,Low,0,Off,Off
29-05-202312:08:30,On,Low,75,On,Off
29-05-202312:10:40,On,Low,100,On,On
29-05-202312:12:50,On,Low,150,On,On
29-05-202312:15:00,Off,Low,0,Off,On
29-05-202312:17:10,Off,High,0,Off,On
29-05-202312:19:20,Off,High,0,Off,Off
29-05-202312:21:30,Off,High,0,Off,Off
29-05-202312:23:40,On,High,75,On,Off
29-05-202312:25:50,On,High,150,On,On
29-05-202312:28:00,On,High,175,On,On
29-05-202312:30:10,On,High,225,On,On
29-05-202312:32:20,Off,High,0,Off,On
29-05-202312:34:30,Off,Low,0,Off,On
29-05-202312:36:40,Off,Low,0,Off,Off
29-05-202312:38:50,Off,Low,0,Off,Off
29-05-202312:41:00,On,Low,75,On,Off
29-05-202312:43:10,On,Low,100,On,On
29-05-202312:45:20,On,Low,125,On,On
29-05-202312:47:30,Off,Low,0,Off,On
29-05-202312:49:40,Off,High,0,Off,On
29-05-202312:51:50,Off,High,0,Off,Off
29-05-202312:54:00,Off,High,0,Off,Off
29-05-202312:56:10,On,High,0,On,Off
29-05-202312:58:20,On,High,75,On,On
29-05-202313:00:30,On,High,150,On,On
29-05-202313:02:40,On,High,175,On,On
29-05-202313:04:50,On,High,200,On,On
29-05-202313:07:00,Off,High,0,Off,On
29-05-202313:09:10,Off,Low,0,Off,On
29-05-202313:11:20,Off,Low,0,Off,Off
29-05-202313:13:30,Off,Low,0,Off,Off
29-05-202313:15:40,On,Low,75,On,Off
29-05-202313:17:50,On,Low,100,On,On
29-05-202313:20:00,On,Low,125,On,On
29-05-202313:22:10,Off,Low,0,Off,On
29-05-202313:24:20,Off,High,0,Off,On
29-05-202313:26:30,Off,High,0,Off,Off
29-05-202313:28:40,Off,High,0,Off,Off
29-05-202313:30:50,On,High,75,On,Off
29-05-202313:33:00,On,High,150,On,On
29-05-202313:35:10,On,High,175,On,On
29-05-202313:37:20,On,High,200,On,On
29-05-202313:39:30,Off,High,0,Off,On
29-05-202313:41:40,Off,Low,0,Off,On
29-05-202313:43:50,Off,Low,0,Off,Off
29-05-202313:46:00,Off,Low,0,Off,Off
29-05-202313:48:10,On,Low,75,On,Off
29-05-202313:50:20,On,Low,100,On,On
29-05-202313:52:30,On,Low,125,On,On
29-05-202313:54:40,Off,Low,0,Off,On
29-05-202313:56:50,Off,High,0,Off,On
29-05-202313:59:00,Off,High,0,Off,Off
29-05-202314:01:10,Off,High,0,Off,Off
29-05-202314:03:20,On,High,0,On,Off
29-05-202314:05:30,On,High,75,On,On
29-05-202314:07:40,On,High,150,On,On
29-05-202314:09:50,On,High,175,On,On
29-05-202314:12:00,On,High,200,On,On
29-05-202314:14:10,Off,High,0,Off,On
29-05-202314:16:20,Off,Low,0,Off,On
29-05-202314:18:30,Off,Low,0,Off,Off
29-05-202314:20:40,Off,Low,0,Off,Off
29-05-202314:22:50,On,Low,75,On,Off
29-05-202314:25:00,On,Low,100,On,On
29-05-202314:27:10,On,Low,125,On,On
29-05-202314:29:20,Off,Low,0,Off,On
29-05-202314:31:30,Off,High,0,Off,On
29-05-202314:33:40,Off,High,0,Off,Off
